accession	date	country	strain	genome_coverage
EPI-ISL-16533866	2022-XX-XX	Austria	EPI-ISL-16533866	0.99
EPI-ISL-16714385	2021-XX-XX	England	EPI-ISL-16714385	0.99
EPI-ISL-16714627	2021-XX-XX	England	EPI-ISL-16714627	0.99
EPI-ISL-15896190	2022-XX-XX	Australia	EPI-ISL-15896190	0.99
EPI-ISL-15896209	2022-XX-XX	Australia	EPI-ISL-15896209	0.99
EPI-ISL-15896259	2022-XX-XX	Australia	EPI-ISL-15896259	0.99
EPI-ISL-15896283	2022-XX-XX	Australia	EPI-ISL-15896283	0.99
EPI-ISL-16714765	2022-XX-XX	Australia	EPI-ISL-16714765	0.99
EPI-ISL-16714784	2022-XX-XX	Australia	EPI-ISL-16714784	0.99
EPI-ISL-17066801	2022-XX-XX	Australia	EPI-ISL-17066801	0.99
EPI-ISL-11055802	2021-XX-XX	South-Africa	EPI-ISL-11055802	0.99
EPI-ISL-11817058	2021-XX-XX	Australia	EPI-ISL-11817058	0.99
EPI-ISL-11817060	2021-XX-XX	Australia	EPI-ISL-11817060	0.99
EPI-ISL-12529656	2021-XX-XX	South-Africa	EPI-ISL-12529656	0.99
EPI-ISL-14769847	2022-XX-XX	South-Africa	EPI-ISL-14769847	0.99
EPI-ISL-15067710	2018-XX-XX	Argentina	EPI-ISL-15067710	0.99
EPI-ISL-15728620	2022-XX-XX	South-Africa	EPI-ISL-15728620	0.99
EPI-ISL-15728627	2022-XX-XX	South-Africa	EPI-ISL-15728627	0.99
EPI-ISL-15774019	2021-XX-XX	Australia	EPI-ISL-15774019	0.99
EPI-ISL-16714597	2021-XX-XX	England	EPI-ISL-16714597	0.99
EPI-ISL-16714599	2021-XX-XX	England	EPI-ISL-16714599	0.99
EPI-ISL-16714651	2021-XX-XX	England	EPI-ISL-16714651	0.99
EPI-ISL-15120696	2016-XX-XX	Morocco	EPI-ISL-15120696	0.99
EPI-ISL-15120697	2016-XX-XX	Morocco	EPI-ISL-15120697	0.99
EPI-ISL-15120725	2016-XX-XX	Morocco	EPI-ISL-15120725	0.99
EPI-ISL-15120732	2016-XX-XX	Morocco	EPI-ISL-15120732	0.99
EPI-ISL-15120751	2017-XX-XX	Morocco	EPI-ISL-15120751	0.99
EPI-ISL-15120753	2017-XX-XX	Morocco	EPI-ISL-15120753	0.99
EPI-ISL-6494896	2008-XX-XX	England	EPI-ISL-6494896	0.99
